"lon","lat","area","grad","dc"
-84.532364,-4.5,20043,4.5,200
-84.550779,-4.67206,20043,4.5,200
-84.550379,-4.6758,20043,4.5,200
-84.55109,-4.68244,20043,4.5,200
-84.517103,-5,20043,4.5,200
-84.686704,-5,20043,4.5,200
-84.720691,-4.68244,20043,4.5,200
-84.71998,-4.6758,20043,4.5,200
-84.720381,-4.67206,20043,4.5,200
-84.701966,-4.5,20043,4.5,200
-84.532364,-4.5,20043,4.5,200
-84.701966,-4.5,20040,4,200
-84.648452,-4,20040,4,200
-84.5,-4,20040,4,200
-84.476109,-4,20040,4,200
-84.476196,-4.00081,20040,4,200
-84.480043,-4.012436,20040,4,200
-84.480363,-4.014116,20040,4,200
-84.532364,-4.5,20040,4,200
-84.701966,-4.5,20040,4,200
-70.673624,-18.350117,1180,18,10
-70.6738,-18.35004,1180,18,10
-70.675799,-18.34874,1180,18,10
-70.678818,-18.346586,1180,18,10
-70.686699,-18.34314,1180,18,10
-70.6877,-18.34264,1180,18,10
-70.6881,-18.34244,1180,18,10
-70.693311,-18.338722,1180,18,10
-70.6967,-18.33724,1180,18,10
-70.696864,-18.337131,1180,18,10
-70.697299,-18.33694,1180,18,10
-70.699045,-18.335695,1180,18,10
-70.700999,-18.33484,1180,18,10
-70.703279,-18.333214,1180,18,10
-70.718999,-18.32634,1180,18,10
-70.734108,-18.315561,1180,18,10
-70.7385,-18.31364,1180,18,10
-70.741643,-18.312021,1180,18,10
-70.743199,-18.31134,1180,18,10
-70.745999,-18.30974,1180,18,10
-70.747899,-18.30854,1180,18,10
-70.752549,-18.305223,1180,18,10
-70.759599,-18.30214,1180,18,10
-70.76206,-18.300385,1180,18,10
-70.762699,-18.30004,1180,18,10
-70.763403,-18.299539,1180,18,10
-70.764899,-18.29874,1180,18,10
-70.7655,-18.29834,1180,18,10
-70.794184,-18.277874,1180,18,10
-70.794684,-18.277474,1180,18,10
-70.795064,-18.27706,1180,18,10
-70.795184,-18.276974,1180,18,10
-70.803694,-18.267692,1180,18,10
-70.807784,-18.264774,1180,18,10
-70.808051,-18.264483,1180,18,10
-70.808484,-18.264174,1180,18,10
-70.809674,-18.262876,1180,18,10
-70.815983,-18.258374,1180,18,10
-70.816483,-18.257874,1180,18,10
-70.8291,-18.244114,1180,18,10
